[eating, thinking, thinking, thinking] : 2
[eating, sleeping, thinking, thinking] : 1
[eating, sleeping, thinking, thinking] : 1
[eating, sleeping, thinking, thinking] : 1
[eating, sleeping, thinking, thinking] : 1
[eating, thinking, thinking, thinking] : 1
[eating, thinking, thinking, thinking] : 2
[eating, thinking, thinking, talking] : 2
[eating, thinking, thinking, talking] : 2
[eating, thinking, thinking, talking] : 2
[eating, talking, thinking, thinking] : 2
[eating, talking, thinking, hungry] : 2
[sleeping, thinking, sleeping, hungry] : 2
[sleeping, thinking, sleeping, hungry] : 2
[sleeping, thinking, sleeping, hungry] : 2
[sleeping, eating, thinking, hungry] : 2
[sleeping, eating, thinking, hungry] : 1
[sleeping, eating, thinking, hungry] : 1
[thinking, eating, thinking, hungry] : 1
[thinking, eating, talking, hungry] : 1
[thinking, eating, talking, hungry] : 1
[thinking, eating, talking, eating] : 2
[thinking, eating, talking, eating] : 1
[thinking, eating, talking, eating] : 1
[thinking, eating, talking, eating] : 1
[thinking, eating, talking, eating] : 1
[thinking, eating, talking, eating] : 2
[thinking, eating, thinking, sleeping] : 2
[sleeping, eating, thinking, sleeping] : 2
[sleeping, sleeping, thinking, sleeping] : 2
[sleeping, sleeping, thinking, sleeping] : 2
[sleeping, sleeping, thinking, thinking] : 2
[thinking, sleeping, thinking, thinking] : 2
[thinking, thinking, eating, thinking] : 2
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 2
[thinking, thinking, sleeping, thinking] : 2
[thinking, sleeping, sleeping, thinking] : 2
[thinking, sleeping, sleeping, sleeping] : 2
[thinking, sleeping, sleeping, sleeping] : 2
[thinking, sleeping, thinking, sleeping] : 2
[thinking, sleeping, thinking, thinking] : 2
[eating, thinking, thinking, thinking] : 2
[eating, thinking, thinking, talking] : 2
[eating, thinking, thinking, talking] : 2
[eating, thinking, thinking, talking] : 2
[eating, thinking, thinking, talking] : 2
[eating, thinking, thinking, talking] : 1
[eating, thinking, thinking, talking] : 1
[eating, thinking, thinking, talking] : 1
[eating, thinking, thinking, talking] : 2
[eating, talking, thinking, thinking] : 2
[eating, talking, thinking, hungry] : 2
[sleeping, thinking, sleeping, hungry] : 2
[sleeping, thinking, sleeping, hungry] : 2
[sleeping, thinking, sleeping, hungry] : 2
[sleeping, thinking, thinking, hungry] : 2
[thinking, eating, thinking, hungry] : 2
[thinking, eating, thinking, hungry] : 1
[thinking, eating, thinking, hungry] : 1
[thinking, eating, talking, hungry] : 1
[thinking, eating, talking, hungry] : 1
[thinking, eating, talking, eating] : 1
[thinking, eating, talking, eating] : 0
[thinking, eating, talking, eating] : 0
[thinking, eating, talking, eating] : 0
[thinking, eating, talking, eating] : 1
[thinking, eating, talking, eating] : 2
[thinking, eating, thinking, sleeping] : 2
[sleeping, eating, thinking, sleeping] : 2
[sleeping, sleeping, thinking, sleeping] : 2
[sleeping, sleeping, thinking, sleeping] : 2
[thinking, sleeping, thinking, sleeping] : 2
[thinking, sleeping, eating, thinking] : 2
[thinking, thinking, eating, thinking] : 2
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 2
[talking, thinking, eating, thinking] : 2
[thinking, thinking, sleeping, sleeping] : 2
[thinking, sleeping, sleeping, sleeping] : 2
[thinking, sleeping, sleeping, sleeping] : 2
[eating, sleeping, sleeping, sleeping] : 2
[eating, sleeping, sleeping, sleeping] : 1
[eating, sleeping, sleeping, sleeping] : 1
[eating, sleeping, sleeping, thinking] : 1
[eating, thinking, sleeping, thinking] : 1
[eating, thinking, thinking, thinking] : 1
[eating, thinking, thinking, thinking] : 2
[eating, thinking, thinking, talking] : 2
[eating, thinking, thinking, talking] : 2
[eating, thinking, thinking, talking] : 2
[eating, thinking, thinking, talking] : 2
[eating, thinking, thinking, talking] : 2
[eating, talking, thinking, hungry] : 2
[eating, talking, thinking, hungry] : 2
[sleeping, thinking, thinking, hungry] : 2
[sleeping, thinking, thinking, eating] : 2
[sleeping, thinking, thinking, eating] : 1
[sleeping, thinking, sleeping, eating] : 1
[sleeping, thinking, sleeping, eating] : 1
[thinking, thinking, sleeping, eating] : 1
[thinking, thinking, sleeping, eating] : 2
[thinking, eating, thinking, eating] : 2
[thinking, eating, thinking, eating] : 1
[thinking, eating, thinking, eating] : 1
[thinking, eating, thinking, eating] : 1
[thinking, eating, thinking, sleeping] : 1
[thinking, eating, thinking, sleeping] : 1
[thinking, eating, thinking, sleeping] : 1
[thinking, eating, thinking, sleeping] : 2
[thinking, eating, thinking, thinking] : 2
[thinking, eating, talking, thinking] : 2
[thinking, eating, talking, thinking] : 2
[thinking, eating, talking, thinking] : 2
[thinking, eating, thinking, sleeping] : 2
[sleeping, eating, thinking, sleeping] : 2
[sleeping, sleeping, thinking, sleeping] : 2
[sleeping, sleeping, thinking, sleeping] : 2
[sleeping, sleeping, thinking, thinking] : 2
[thinking, sleeping, thinking, thinking] : 2
[thinking, thinking, eating, thinking] : 2
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, talking] : 1
[thinking, thinking, eating, talking] : 1
[thinking, thinking, eating, talking] : 1
[thinking, thinking, eating, talking] : 1
[thinking, thinking, eating, talking] : 1
[thinking, thinking, eating, talking] : 2
[talking, thinking, eating, thinking] : 2
[talking, thinking, eating, hungry] : 2
[thinking, sleeping, eating, hungry] : 2
[thinking, sleeping, sleeping, hungry] : 2
[thinking, sleeping, sleeping, hungry] : 2
[hungry, thinking, sleeping, hungry] : 2
[eating, thinking, thinking, hungry] : 2
[eating, thinking, thinking, hungry] : 1
[eating, thinking, thinking, hungry] : 1
[eating, talking, thinking, hungry] : 1
[eating, talking, thinking, hungry] : 1
[eating, talking, thinking, hungry] : 1
[eating, talking, thinking, hungry] : 2
[eating, talking, thinking, hungry] : 2
[eating, thinking, sleeping, hungry] : 2
[sleeping, thinking, sleeping, eating] : 2
[sleeping, thinking, sleeping, eating] : 2
[sleeping, eating, thinking, eating] : 2
[sleeping, eating, thinking, eating] : 1
[sleeping, eating, thinking, eating] : 1
[thinking, eating, thinking, eating] : 1
[thinking, eating, thinking, eating] : 0
[thinking, eating, thinking, eating] : 0
[thinking, eating, thinking, eating] : 0
[thinking, eating, thinking, eating] : 0
[thinking, eating, thinking, eating] : 1
[thinking, eating, talking, eating] : 2
[thinking, eating, talking, eating] : 2
[thinking, eating, talking, eating] : 2
[sleeping, eating, thinking, eating] : 2
[sleeping, eating, thinking, sleeping] : 2
[sleeping, sleeping, thinking, sleeping] : 2
[sleeping, sleeping, thinking, sleeping] : 2
[thinking, sleeping, thinking, sleeping] : 2
[thinking, sleeping, thinking, thinking] : 2
[thinking, thinking, eating, thinking] : 2
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 2
[thinking, thinking, sleeping, thinking] : 2
[thinking, sleeping, sleeping, thinking] : 2
[thinking, sleeping, sleeping, sleeping] : 2
[thinking, sleeping, sleeping, sleeping] : 2
[thinking, sleeping, sleeping, thinking] : 2
[thinking, thinking, sleeping, thinking] : 2
[eating, thinking, thinking, thinking] : 2
[eating, thinking, thinking, thinking] : 1
[eating, thinking, thinking, thinking] : 1
[eating, thinking, thinking, talking] : 1
[eating, thinking, thinking, talking] : 1
[eating, thinking, thinking, talking] : 1
[eating, thinking, thinking, talking] : 1
[eating, thinking, thinking, talking] : 1
[eating, thinking, thinking, talking] : 2
[eating, talking, thinking, thinking] : 2
[eating, talking, thinking, hungry] : 2
[eating, thinking, sleeping, hungry] : 2
[sleeping, thinking, sleeping, hungry] : 2
[sleeping, thinking, sleeping, hungry] : 2
[sleeping, thinking, thinking, hungry] : 2
[thinking, eating, thinking, hungry] : 2
[thinking, eating, thinking, hungry] : 1
[thinking, eating, thinking, hungry] : 1
[thinking, eating, talking, hungry] : 1
[thinking, eating, talking, hungry] : 1
[thinking, eating, talking, eating] : 1
[thinking, eating, talking, eating] : 0
[thinking, eating, talking, eating] : 0
[thinking, eating, talking, eating] : 0
[thinking, eating, talking, eating] : 1
[thinking, eating, talking, eating] : 2
[thinking, eating, thinking, sleeping] : 2
[thinking, sleeping, thinking, sleeping] : 2
[sleeping, sleeping, thinking, sleeping] : 2
[sleeping, sleeping, thinking, sleeping] : 2
[sleeping, sleeping, thinking, thinking] : 2
[sleeping, thinking, thinking, thinking] : 2
[thinking, thinking, eating, thinking] : 2
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 2
[thinking, thinking, sleeping, thinking] : 2
[thinking, thinking, sleeping, sleeping] : 2
[thinking, sleeping, sleeping, sleeping] : 2
[thinking, sleeping, sleeping, sleeping] : 2
[thinking, sleeping, thinking, sleeping] : 2
[thinking, sleeping, thinking, thinking] : 2
[eating, thinking, thinking, thinking] : 2
[eating, thinking, thinking, thinking] : 1
[eating, thinking, thinking, thinking] : 1
[eating, thinking, thinking, thinking] : 1
[eating, thinking, thinking, thinking] : 1
[eating, thinking, thinking, talking] : 1
[eating, thinking, thinking, talking] : 1
[eating, thinking, thinking, talking] : 1
[eating, thinking, thinking, talking] : 2
[eating, talking, thinking, thinking] : 2
[eating, talking, thinking, hungry] : 2
[eating, thinking, sleeping, hungry] : 2
[sleeping, thinking, sleeping, hungry] : 2
[sleeping, thinking, sleeping, hungry] : 2
[sleeping, thinking, thinking, hungry] : 2
[thinking, eating, thinking, hungry] : 2
[thinking, eating, thinking, hungry] : 1
[thinking, eating, thinking, hungry] : 1
[thinking, eating, talking, hungry] : 1
[thinking, eating, talking, hungry] : 1
[thinking, eating, talking, eating] : 1
[thinking, eating, talking, eating] : 0
[thinking, eating, talking, eating] : 0
[thinking, eating, talking, eating] : 0
[thinking, eating, talking, eating] : 1
[thinking, eating, talking, eating] : 2
[thinking, eating, thinking, sleeping] : 2
[thinking, sleeping, thinking, sleeping] : 2
[sleeping, sleeping, thinking, sleeping] : 2
[sleeping, sleeping, thinking, sleeping] : 2
[sleeping, sleeping, thinking, thinking] : 2
[sleeping, thinking, thinking, thinking] : 2
[thinking, thinking, eating, thinking] : 2
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 2
[thinking, thinking, sleeping, thinking] : 2
[thinking, sleeping, sleeping, thinking] : 2
[thinking, sleeping, sleeping, sleeping] : 2
[thinking, sleeping, sleeping, sleeping] : 2
[thinking, sleeping, thinking, sleeping] : 2
[thinking, thinking, thinking, sleeping] : 2
[eating, thinking, thinking, thinking] : 2
[eating, thinking, thinking, thinking] : 1
[eating, thinking, thinking, thinking] : 1
[eating, thinking, thinking, thinking] : 1
[eating, thinking, thinking, thinking] : 1
[eating, talking, thinking, thinking] : 1
[eating, talking, thinking, thinking] : 1
[eating, talking, thinking, thinking] : 1
[eating, talking, thinking, thinking] : 2
[eating, thinking, thinking, talking] : 2
[eating, hungry, thinking, talking] : 2
[eating, hungry, sleeping, thinking] : 2
[sleeping, hungry, sleeping, thinking] : 2
[sleeping, hungry, sleeping, thinking] : 2
[sleeping, hungry, thinking, eating] : 2
[sleeping, hungry, thinking, eating] : 2
[sleeping, hungry, thinking, eating] : 1
[sleeping, hungry, thinking, eating] : 1
[thinking, hungry, thinking, eating] : 1
[thinking, hungry, talking, eating] : 2
[thinking, eating, talking, eating] : 2
[thinking, eating, talking, eating] : 1
[thinking, eating, talking, eating] : 1
[thinking, eating, talking, eating] : 1
[thinking, eating, talking, eating] : 1
[thinking, eating, talking, eating] : 2
[thinking, sleeping, thinking, eating] : 2
[thinking, sleeping, thinking, sleeping] : 2
[sleeping, sleeping, thinking, sleeping] : 2
[sleeping, sleeping, thinking, sleeping] : 2
[sleeping, thinking, thinking, sleeping] : 2
[sleeping, thinking, thinking, thinking] : 2
[thinking, thinking, eating, thinking] : 2
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 2
[thinking, thinking, sleeping, thinking] : 2
[thinking, thinking, sleeping, sleeping] : 2
[thinking, sleeping, sleeping, sleeping] : 2
[thinking, sleeping, sleeping, sleeping] : 2
[thinking, sleeping, thinking, sleeping] : 2
[thinking, sleeping, thinking, thinking] : 2
[eating, thinking, thinking, thinking] : 2
[eating, thinking, thinking, thinking] : 1
[eating, thinking, thinking, thinking] : 1
[eating, thinking, thinking, thinking] : 1
[eating, thinking, thinking, thinking] : 1
[eating, thinking, thinking, talking] : 1
[eating, thinking, thinking, talking] : 1
[eating, thinking, thinking, talking] : 2
[eating, thinking, thinking, talking] : 2
[eating, talking, thinking, thinking] : 2
[eating, talking, thinking, hungry] : 2
[eating, thinking, sleeping, hungry] : 2
[sleeping, thinking, sleeping, hungry] : 2
[sleeping, eating, sleeping, hungry] : 2
[sleeping, eating, sleeping, hungry] : 1
[sleeping, eating, sleeping, hungry] : 1
[thinking, eating, sleeping, hungry] : 1
[thinking, eating, thinking, hungry] : 1
[thinking, eating, thinking, eating] : 2
[thinking, eating, thinking, eating] : 1
[thinking, eating, thinking, eating] : 1
[thinking, eating, thinking, eating] : 1
[thinking, eating, thinking, eating] : 1
[thinking, eating, talking, eating] : 1
[thinking, eating, talking, eating] : 1
[thinking, eating, talking, eating] : 2
[thinking, eating, thinking, sleeping] : 2
[sleeping, eating, thinking, sleeping] : 2
[sleeping, sleeping, thinking, sleeping] : 2
[sleeping, sleeping, thinking, sleeping] : 2
[sleeping, sleeping, thinking, thinking] : 2
[thinking, sleeping, thinking, thinking] : 2
[thinking, thinking, eating, thinking] : 2
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[thinking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 2
[thinking, thinking, sleeping, sleeping] : 2
[thinking, thinking, sleeping, sleeping] : 2
[thinking, thinking, sleeping, sleeping] : 2
[thinking, thinking, thinking, sleeping] : 2
[thinking, thinking, thinking, thinking] : 2
[thinking, thinking, thinking, thinking] : 2
[thinking, thinking, thinking, thinking] : 2
[thinking, thinking, thinking, talking] : 2
[thinking, thinking, thinking, talking] : 2
[thinking, thinking, sleeping, thinking] : 2
[thinking, thinking, sleeping, thinking] : 2
[thinking, thinking, thinking, eating] : 2
[thinking, thinking, thinking, eating] : 1
[thinking, thinking, thinking, eating] : 1
[thinking, thinking, talking, eating] : 1
[thinking, thinking, talking, eating] : 1
[thinking, thinking, talking, eating] : 2
[thinking, thinking, thinking, sleeping] : 2
[thinking, thinking, thinking, sleeping] : 2
[thinking, thinking, thinking, thinking] : 2
[thinking, thinking, thinking, thinking] : 2
[thinking, thinking, thinking, sleeping] : 2
[thinking, thinking, thinking, sleeping] : 2
[thinking, thinking, thinking, thinking] : 2
[thinking, thinking, thinking, talking] : 2
[thinking, thinking, thinking, talking] : 2
[thinking, thinking, thinking, thinking, eating] : 2
[thinking, thinking, thinking, thinking, eating] : 1
[thinking, thinking, thinking, thinking, eating] : 1
[thinking, thinking, thinking, thinking, sleeping] : 2
[thinking, thinking, thinking, thinking, sleeping] : 2
[thinking, thinking, thinking, thinking, thinking] : 2
[thinking, thinking, thinking, thinking, thinking] : 2
[thinking, thinking, thinking, thinking, sleeping] : 2
[thinking, thinking, thinking, thinking, sleeping] : 2
[thinking, thinking, thinking, thinking, thinking] : 2
[thinking, thinking, thinking, thinking, talking] : 2
[thinking, thinking, thinking, thinking, talking] : 2
[thinking, thinking, thinking, thinking, eating] : 2
[thinking, thinking, thinking, thinking, eating] : 1
[thinking, thinking, thinking, thinking, eating] : 1
[thinking, thinking, thinking, thinking, sleeping] : 2
[thinking, thinking, thinking, thinking, sleeping] : 2
[thinking, thinking, thinking, thinking, thinking] : 2
[thinking, thinking, thinking, thinking, thinking] : 2
[thinking, thinking, thinking, thinking, sleeping] : 2
[thinking, thinking, thinking, thinking, sleeping] : 2
[thinking, thinking, thinking, thinking, thinking] : 2
[thinking, thinking, thinking, thinking, talking] : 2
[thinking, thinking, thinking, thinking, talking] : 2
[thinking, thinking, thinking, thinking, eating] : 2
[thinking, thinking, thinking, thinking, eating] : 1
[thinking, thinking, thinking, thinking, eating] : 1
[thinking, thinking, thinking, thinking, sleeping] : 2
[thinking, thinking, thinking, thinking, sleeping] : 2
[thinking, thinking, thinking, thinking, thinking] : 2
[thinking, thinking, thinking, thinking, thinking] : 2
[thinking, thinking, thinking, thinking, sleeping] : 2
[thinking, thinking, thinking, thinking, sleeping] : 2
[thinking, thinking, thinking, thinking, thinking] : 2
[thinking, thinking, thinking, thinking, talking] : 2
[thinking, thinking, thinking, thinking, talking] : 2
[thinking, sleeping, thinking, thinking, thinking] : 2
[thinking, sleeping, thinking, thinking, thinking] : 2
[thinking, thinking, thinking, thinking, eating] : 2
[thinking, thinking, thinking, thinking, eating] : 1
[thinking, thinking, thinking, thinking, eating] : 1
[thinking, talking, thinking, thinking, eating] : 1
[thinking, talking, thinking, thinking, eating] : 1
[thinking, talking, thinking, thinking, eating] : 2
[thinking, thinking, thinking, thinking, sleeping] : 2
[thinking, thinking, thinking, thinking, sleeping] : 2
[thinking, thinking, thinking, thinking, thinking] : 2
[thinking, thinking, thinking, thinking, thinking] : 2
[thinking, thinking, thinking, thinking, sleeping] : 2
[thinking, thinking, thinking, thinking, sleeping] : 2
[thinking, thinking, thinking, thinking, thinking] : 2
[thinking, thinking, thinking, thinking, talking] : 2
[thinking, thinking, thinking, thinking, talking] : 2
